relative_path,Full Path,Corrected,absolute_path,data_type,Weather,Water Conditions,Temp [C],DateTime,Count,Notes,Species,Air_Temp_C,Gate_Opening_MTR_Deg,Gate_Opening_Top_Hinge_Deg,Depth_Inside,Depth,Wind_Speed_km_h,has_camera_data,animal_detected
,,,,,,,,2021-06-15 00:00:00,,,,14.1,0.03,-0.09,1.40208,1.773936,1.88,False,False
,,,,,,,,2021-06-15 00:15:00,,,,13.4,0.03,-0.09,1.414272,1.895856,1.89,False,False
,,,,,,,,2021-06-15 00:30:00,,,,12.7,0.03,-0.09,1.426464,2.017776,1.9,False,False
,,,,,,,,2021-06-15 00:45:00,,,,12.75,0.03,-0.09,1.438656,2.1061680000000003,1.745,False,False
,,,,,,,,2021-06-15 01:00:00,,,,12.8,0.03,-0.09,1.450848,2.19456,1.59,False,False
,,,,,,,,2021-06-15 01:15:00,,,,11.6,0.03,-0.09,1.459992,2.249424,1.63,False,False
,,,,,,,,2021-06-15 01:30:00,,,,11.8,0.03,-0.09,1.475232,2.289048,1.5099999999999998,False,False
,,,,,,,,2021-06-15 01:45:00,,,,12.0,0.03,-0.09,1.490472,2.310384,1.39,False,False
,,,,,,,,2021-06-15 02:00:00,,,,11.35,0.03,-0.09,1.502664,2.31648,1.545,False,False
,,,,,,,,2021-06-15 02:15:00,,,,10.7,0.03,-0.09,1.514856,2.307336,1.7,False,False
,,,,,,,,2021-06-15 02:30:00,,,,10.5,0.03,-0.09,1.520952,2.289048,1.48,False,False
,,,,,,,,2021-06-15 02:45:00,,,,10.9,0.03,-0.09,1.542288,2.258568,1.3,False,False
,,,,,,,,2021-06-15 03:00:00,,,,10.6,0.03,-0.09,1.55448,2.218944,1.34,False,False
,,,,,,,,2021-06-15 03:15:00,,,,10.5,0.03,-0.09,1.557528,2.173224,1.52,False,False
,,,,,,,,2021-06-15 03:30:00,,,,10.35,0.03,-0.09,1.56972,2.121408,1.5,False,False
,,,,,,,,2021-06-15 03:45:00,,,,10.2,0.03,-0.09,1.581912,2.069592,1.48,False,False
,,,,,,,,2021-06-15 04:00:00,,,,10.2,0.03,-0.09,1.591056,2.00406,1.435,False,False
,,,,,,,,2021-06-15 04:15:00,,,,10.2,0.03,-0.09,1.6002,1.938528,1.39,False,False
,,,,,,,,2021-06-15 04:30:00,,,,10.2,0.03,-0.09,1.609344,1.83642,1.6,False,False
,,,,,,,,2021-06-15 04:45:00,,,,10.2,0.03,-0.09,1.618488,1.734312,1.81,False,False
,,,,,,,,2021-06-15 05:00:00,,,,9.4,0.03,-0.09,1.633728,1.658112,1.77,False,False
,,,,,,,,2021-06-15 05:15:00,,,,9.4,0.03,-0.09,1.633728,1.557528,1.54,False,False
,,,,,,,,2021-06-15 05:30:00,,,,9.35,7.074999999999999,4.265,1.613916,1.450848,1.6,False,False
,,,,,,,,2021-06-15 05:45:00,,,,9.3,14.12,8.62,1.594104,1.344168,1.66,False,False
,,,,,,,,2021-06-15 06:00:00,,,,9.7,50.51,9.525,1.43256,1.228344,1.6,False,False
,,,,,,,,2021-06-15 06:15:00,,,,10.1,86.9,10.43,1.271016,1.11252,1.54,False,False
,,,,,,,,2021-06-15 06:30:00,,,,9.8,86.5,10.105,1.121664,0.972312,1.495,False,False
,,,,,,,,2021-06-15 06:45:00,,,,9.5,86.1,9.78,0.972312,0.832104,1.45,False,False
,,,,,,,,2021-06-15 07:00:00,,,,9.6,84.86666666666666,8.956666666666667,0.821944,0.7111999999999999,1.52,False,False
,,,,,,,,2021-06-15 07:15:00,,,,9.7,83.63333333333334,8.133333333333333,0.671576,0.5902959999999999,1.59,False,False
,,,,,,,,2021-06-15 07:30:00,,,,9.8,82.4,7.31,0.521208,0.469392,1.66,False,False
,,,,,,,,2021-06-15 07:45:00,,,,10.033333333333331,82.03333333333333,5.94,0.442976,0.353568,1.6,False,False
,,,,,,,,2021-06-15 08:00:00,,,,10.266666666666667,81.66666666666667,4.57,0.3647439999999999,0.2377439999999999,1.54,False,False
,,,,,,,,2021-06-15 08:15:00,,,,10.5,81.3,3.2,0.286512,0.12192,1.48,False,False
,,,,,,,,2021-06-15 08:30:00,,,,10.7,81.19999999999999,2.745,0.268224,0.06858,1.425,False,False
,,,,,,,,2021-06-15 08:45:00,,,,10.9,81.1,2.29,0.249936,0.01524,1.37,False,False
,,,,,,,,2021-06-15 09:00:00,,,,11.7,81.1,2.04,0.240792,-0.003048,1.23,False,False
,,,,,,,,2021-06-15 09:15:00,,,,12.4,81.05,1.96,0.2362199999999999,-0.010668,1.4,False,False
,,,,,,,,2021-06-15 09:30:00,,,,13.1,81.0,1.88,0.231648,-0.018288,1.57,False,False
,,,,,,,,2021-06-15 09:45:00,,,,13.7,80.85,1.88,0.231648,-0.018288,1.85,False,False
,,,,,,,,2021-06-15 10:00:00,,,,14.3,80.7,1.88,0.231648,-0.018288,2.13,False,False
,,,,,,,,2021-06-15 10:15:00,,,,15.4,80.7,1.71,0.2286,-0.024384,1.63,False,False
,,,,,,,,2021-06-15 10:30:00,,,,15.2,80.65,1.71,0.2286,-0.03048,1.775,False,False
,,,,,,,,2021-06-15 10:45:00,,,,15.0,80.6,1.71,0.2286,-0.036576,1.92,False,False
,,,,,,,,2021-06-15 11:00:00,,,,15.3,80.2,1.71,0.231648,-0.03048,2.68,False,False
,,,,,,,,2021-06-15 11:15:00,,,,15.55,80.2,1.71,0.231648,0.056388,1.98,False,False
,,,,,,,,2021-06-15 11:30:00,,,,15.8,80.2,1.71,0.231648,0.143256,1.28,False,False
,,,,,,,,2021-06-15 11:45:00,,,,16.05,80.2,1.295,0.27432,0.216408,2.285,False,False
,,,,,,,,2021-06-15 12:00:00,,,,16.3,80.2,0.88,0.316992,0.28956,3.29,False,False
,,,,,,,,2021-06-15 12:15:00,,,,16.7,80.2,0.39,0.44196,0.399288,5.23,False,False
,,,,,,,,2021-06-15 12:30:00,,,,16.4,80.2,-0.1,0.542544,0.478536,3.94,False,False
,,,,,,,,2021-06-15 12:45:00,,,,17.7,80.1,-0.11,0.652272,0.57912,2.37,False,False
,,,,,,,,2021-06-15 13:00:00,,,,17.65,80.85,-0.1149999999999999,0.763524,0.679704,2.3600000000000003,False,False
,,,,,,,,2021-06-15 13:15:00,,,,17.6,81.6,-0.12,0.874776,0.780288,2.35,False,False
,,,,,,,,2021-06-15 13:30:00,,,,17.700000000000003,84.3,-0.12,1.004316,0.859536,3.2,False,False
,,,,,,,,2021-06-15 13:45:00,,,,17.8,87.0,-0.12,1.133856,0.938784,4.05,False,False
,,,,,,,,2021-06-15 14:00:00,,,,18.6,14.9,-0.12,1.26492,1.075944,2.8,False,False
,,,,,,,,2021-06-15 14:15:00,,,,18.25,7.464999999999999,-0.12,1.312164,1.1811,2.975,False,False
